 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   1.9290  29.6408   0.4372   2.5313  0.79741E+03  0.79735E+03  0.64406E-01  0.81513E+03  0.10133E-04  0.12866E+02  0.80226E+03  0.10000E+01
    5.0140   1.9290  30.3440   0.4577   2.6500  0.66486E+03  0.66466E+03  0.20050E+00  0.67577E+03  0.38027E-05  0.10718E+02  0.66505E+03  0.10000E+01
    5.0140   1.9290  31.0327   0.4782   2.7686  0.55449E+03  0.55415E+03  0.33777E+00  0.56052E+03  0.14115E-05  0.90090E+01  0.55151E+03  0.10000E+01
    5.0140   1.9290  31.7080   0.4987   2.8873  0.46246E+03  0.46199E+03  0.47166E+00  0.46503E+03  0.51772E-06  0.76436E+01  0.45739E+03  0.10000E+01
    5.0140   1.9290  32.3706   0.5192   3.0060  0.38569E+03  0.38509E+03  0.59904E+00  0.38584E+03  0.18756E-06  0.65485E+01  0.37929E+03  0.10000E+01
    5.0140   1.9290  33.0213   0.5397   3.1247  0.32137E+03  0.32065E+03  0.71786E+00  0.31991E+03  0.67072E-07  0.56670E+01  0.31424E+03  0.10000E+01
    5.0140   1.7940  19.4986   0.1707   1.0317  0.84128E+04  0.84060E+04  0.68174E+01  0.97919E+04  0.24956E+01  0.28212E+03  0.95073E+04  0.10000E+01
    5.0140   1.7940  20.6481   0.1912   1.1556  0.66073E+04  0.66026E+04  0.46245E+01  0.75842E+04  0.88932E+00  0.20334E+03  0.73800E+04  0.10000E+01
    5.0140   1.7940  21.7393   0.2117   1.2795  0.52647E+04  0.52617E+04  0.30120E+01  0.59660E+04  0.32675E+00  0.14969E+03  0.58160E+04  0.10000E+01
    5.0140   1.7940  22.7808   0.2322   1.4034  0.42433E+04  0.42414E+04  0.18528E+01  0.47513E+04  0.12271E+00  0.11210E+03  0.46390E+04  0.10000E+01
    5.0140   1.7940  23.7790   0.2527   1.5272  0.34503E+04  0.34493E+04  0.10417E+01  0.38204E+04  0.46799E-01  0.85180E+02  0.37352E+04  0.10000E+01
    5.0140   1.7940  24.7392   0.2732   1.6511  0.28242E+04  0.28237E+04  0.49352E+00  0.30944E+04  0.18031E-01  0.65534E+02  0.30289E+04  0.10000E+01
    5.0140   1.7940  25.6656   0.2937   1.7750  0.23230E+04  0.23229E+04  0.14118E+00  0.25207E+04  0.69890E-02  0.50978E+02  0.24698E+04  0.10000E+01
    5.0140   1.7940  26.5619   0.3142   1.8988  0.19177E+04  0.19178E+04 -0.39203E-01  0.20622E+04  0.27155E-02  0.40106E+02  0.20221E+04  0.10000E+01
    5.0140   1.7940  27.4310   0.3347   2.0227  0.15873E+04  0.15874E+04 -0.99688E-01  0.16925E+04  0.10547E-02  0.31887E+02  0.16607E+04  0.10000E+01
    5.0140   1.7940  28.2754   0.3552   2.1466  0.13161E+04  0.13162E+04 -0.11715E+00  0.13925E+04  0.40849E-03  0.25535E+02  0.13669E+04  0.10000E+01
    5.0140   1.7940  29.0973   0.3757   2.2705  0.10926E+04  0.10927E+04 -0.10515E+00  0.11477E+04  0.15744E-03  0.20582E+02  0.11271E+04  0.10000E+01
    5.0140   1.7940  29.8985   0.3962   2.3943  0.90809E+03  0.90817E+03 -0.73763E-01  0.94746E+03  0.60292E-04  0.16690E+02  0.93077E+03  0.10000E+01
    5.0140   1.7940  30.6807   0.4167   2.5182  0.75535E+03  0.75538E+03 -0.30354E-01  0.78307E+03  0.22904E-04  0.13592E+02  0.76948E+03  0.10000E+01
    5.0140   1.7940  31.4453   0.4372   2.6421  0.62885E+03  0.62882E+03  0.34754E-01  0.64797E+03  0.86208E-05  0.11134E+02  0.63684E+03  0.10000E+01
