                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   1.5990  37.5822  0.22406E+01  0.23031E+01  0.67220E-04  0.22517E+01  0.23031E+01  0.67220E-04  0.22517E+01
    5.0140   1.5990  38.3453  0.18894E+01  0.19331E+01  0.48035E-04  0.18908E+01  0.19331E+01  0.48035E-04  0.18908E+01
    5.0140   1.5090  22.2133  0.43796E+02  0.53344E+02  0.91510E-01  0.49990E+02  0.53344E+02  0.91510E-01  0.49990E+02
    5.0140   1.5090  23.5269  0.34778E+02  0.41592E+02  0.51147E-01  0.39238E+02  0.41592E+02  0.51147E-01  0.39238E+02
    5.0140   1.5090  24.7747  0.28000E+02  0.32960E+02  0.29692E-01  0.31256E+02  0.32960E+02  0.29692E-01  0.31256E+02
    5.0140   1.5090  25.9663  0.22789E+02  0.26446E+02  0.17698E-01  0.25189E+02  0.26446E+02  0.17698E-01  0.25189E+02
    5.0140   1.5090  27.1090  0.18708E+02  0.21432E+02  0.10811E-01  0.20490E+02  0.21432E+02  0.10811E-01  0.20490E+02
    5.0140   1.5090  28.2088  0.15463E+02  0.17503E+02  0.67353E-02  0.16789E+02  0.17503E+02  0.67353E-02  0.16789E+02
    5.0140   1.5090  29.2705  0.12851E+02  0.14394E+02  0.42803E-02  0.13843E+02  0.14394E+02  0.42803E-02  0.13843E+02
    5.0140   1.5090  30.2983  0.10724E+02  0.11895E+02  0.27652E-02  0.11467E+02  0.11895E+02  0.27652E-02  0.11467E+02
    5.0140   1.5090  31.2955  0.89815E+01  0.98721E+01  0.18157E-02  0.95373E+01  0.98721E+01  0.18157E-02  0.95373E+01
    5.0140   1.5090  32.2648  0.75464E+01  0.82244E+01  0.12065E-02  0.79601E+01  0.82244E+01  0.12065E-02  0.79601E+01
    5.0140   1.5090  33.2089  0.63643E+01  0.68782E+01  0.80854E-03  0.66683E+01  0.68782E+01  0.80854E-03  0.66683E+01
    5.0140   1.5090  34.1298  0.53910E+01  0.57742E+01  0.54678E-03  0.56065E+01  0.57742E+01  0.54678E-03  0.56065E+01
    5.0140   1.5090  35.0293  0.45370E+01  0.48267E+01  0.37294E-03  0.46917E+01  0.48267E+01  0.37294E-03  0.46917E+01
    5.0140   1.5090  35.9091  0.38133E+01  0.40339E+01  0.25719E-03  0.39251E+01  0.40339E+01  0.25719E-03  0.39251E+01
    5.0140   1.5090  36.7707  0.32178E+01  0.33833E+01  0.17921E-03  0.32953E+01  0.33833E+01  0.17921E-03  0.32953E+01
    5.0140   1.5090  37.6152  0.27257E+01  0.28465E+01  0.12618E-03  0.27749E+01  0.28465E+01  0.12618E-03  0.27749E+01
    5.0140   1.5090  38.4439  0.23038E+01  0.23898E+01  0.89746E-04  0.23313E+01  0.23898E+01  0.89746E-04  0.23313E+01
    5.0140   1.5090  39.2578  0.19280E+01  0.19925E+01  0.64375E-04  0.19447E+01  0.19925E+01  0.64375E-04  0.19447E+01
    5.0140   1.5090  40.0577  0.16215E+01  0.16683E+01  0.46053E-04  0.16289E+01  0.16683E+01  0.46053E-04  0.16289E+01
    5.0140   1.4190  21.7564  0.48284E+02  0.60839E+02  0.16675E+00  0.56200E+02  0.60839E+02  0.16675E+00  0.56200E+02
    5.0140   1.4190  23.2125  0.37681E+02  0.46473E+02  0.89425E-01  0.43297E+02  0.46473E+02  0.89425E-01  0.43297E+02
